Date,RSI_14D,MACD_SIGNAL,GAP,UPTREND
1/10/2022,50.7668,1.049117584,-2.47,0
1/11/2022,46.1042,0.782999246,-0.43,1
1/12/2022,42.5688,0.556501527,1.25,1
1/13/2022,33.0028,0.295721452,0.87,0
1/14/2022,26.2123,0.048627013,-1.12,1
1/18/2022,23.1214,-0.240545843,-2.41,0
1/19/2022,20.8482,-0.576442443,0.51,0
1/20/2022,20.2003,-0.955568595,1.42,0
1/21/2022,18.726,-1.38967516,-0.38,0
1/24/2022,16.4528,-1.819554916,-2.57,1
1/25/2022,15.5666,-2.277379603,-3.04,0
1/26/2022,21.2866,-2.709329665,4.12,1
1/27/2022,21.1338,-3.112995504,2.47,0
1/28/2022,37.9666,-3.36505913,1.88,1
1/31/2022,44.592,-3.437879152,0.04,1
2/1/2022,42.1291,-3.379998933,0.22,1
2/2/2022,42.9847,-3.214468981,0.35,1
2/3/2022,42.5338,-3.058600667,-2.32,0
2/4/2022,41.3191,-2.899776959,-0.85,1
2/7/2022,45.0246,-2.757729171,0.12,0
2/8/2022,51.5189,-2.596086506,-0.5,1
2/9/2022,59.7749,-2.367921002,2.07,1
2/10/2022,57.7892,-2.173068556,-3.26,0
2/11/2022,49.6923,-2.082215264,0.16,0
2/14/2022,54.6531,-2.057361237,-0.41,0
2/15/2022,58.3851,-2.005553546,2.33,1
2/16/2022,59.7616,-1.937549308,-1.08,0
2/17/2022,44.4259,-1.934325693,-1.48,0
2/18/2022,35.7634,-1.992354473,0.53,0
2/22/2022,33.5171,-2.103687852,-1.6,0
2/23/2022,27.7086,-2.298108202,1.57,0
2/24/2022,41.0215,-2.448925455,-5.06,1
2/25/2022,43.2048,-2.525899804,0.23,1
2/28/2022,44.0951,-2.551265929,-1.64,0
3/1/2022,37.7983,-2.586280034,-0.58,0
3/2/2022,37.332,-2.567440214,1.11,1
3/3/2022,39.8565,-2.539337821,1.3,0
3/4/2022,42.4456,-2.543713627,-1.19,0
3/7/2022,36.6033,-2.649849313,-0.13,0
3/8/2022,28.7417,-2.819330861,-0.39,0
3/9/2022,38.5817,-2.922584958,3.9,1
3/10/2022,40.6741,-3.013896084,-2.64,0
3/11/2022,39.6492,-3.127228022,1.3,0
3/14/2022,38.4523,-3.283891835,-0.66,0
3/15/2022,48.7005,-3.376234524,1.12,1
3/16/2022,48.362,-3.339942624,1.85,1
3/17/2022,47.1156,-3.200243907,-0.81,1
3/18/2022,51.1297,-2.946142801,-0.54,1
3/21/2022,54.1906,-2.636195601,-1.12,0
3/22/2022,53.0091,-2.266065868,0.11,1
3/23/2022,52.2771,-1.910903021,-1.46,0
3/24/2022,60.0422,-1.515406811,0.86,1
3/25/2022,68.7349,-1.113344972,0.25,0
3/28/2022,71.5178,-0.69571283,-0.73,1
3/29/2022,69.7205,-0.234383807,1.87,1
